Atmosphere Properties Model Test Data
Validated by direct comparison to Table I and III of "US Standard Atmosphere, 1976"

(1) Comparison of: std day, evaluated at test altitudes
     H   T          rho        P          a          theta      sigma      delta      kappa      visc
    (m) (K)        (kg/m^3)   (N/m^2)    (m/s)      (1)        (1)        (1)        (1)        (N*s/m^2)
 -100.0 2.8880e+02 1.2368e+00 1.0253e+05 3.4065e+02 1.0023e+00 1.0096e+00 1.0119e+00 1.0011e+00 1.7925e-05
    0.0 2.8815e+02 1.2250e+00 1.0132e+05 3.4027e+02 1.0000e+00 1.0000e+00 1.0000e+00 1.0000e+00 1.7894e-05
 5500.0 2.5240e+02 6.9711e-01 5.0507e+04 3.1846e+02 8.7593e-01 5.6907e-01 4.9846e-01 9.3591e-01 1.6115e-05
11000.0 2.1665e+02 3.6392e-01 2.2632e+04 2.9505e+02 7.5187e-01 2.9708e-01 2.2336e-01 8.6710e-01 1.4216e-05
15500.0 2.1665e+02 1.7899e-01 1.1131e+04 2.9505e+02 7.5187e-01 1.4611e-01 1.0986e-01 8.6710e-01 1.4216e-05
20000.0 2.1665e+02 8.8035e-02 5.4749e+03 2.9505e+02 7.5187e-01 7.1865e-02 5.4033e-02 8.6710e-01 1.4216e-05
26000.0 2.2265e+02 3.3688e-02 2.1531e+03 2.9911e+02 7.7269e-01 2.7501e-02 2.1249e-02 8.7903e-01 1.4544e-05
32000.0 2.2865e+02 1.3225e-02 8.6802e+02 3.0311e+02 7.9351e-01 1.0796e-02 8.5667e-03 8.9079e-01 1.4868e-05
39500.0 2.4965e+02 4.1461e-03 2.9712e+02 3.1672e+02 8.6639e-01 3.3845e-03 2.9323e-03 9.3080e-01 1.5973e-05
47000.0 2.7065e+02 1.4275e-03 1.1091e+02 3.2977e+02 9.3927e-01 1.1653e-03 1.0946e-03 9.6916e-01 1.7037e-05
49000.0 2.7065e+02 1.1090e-03 8.6162e+01 3.2977e+02 9.3927e-01 9.0534e-04 8.5036e-04 9.6916e-01 1.7037e-05
51000.0 2.7065e+02 8.6161e-04 6.6939e+01 3.2977e+02 9.3927e-01 7.0335e-04 6.6064e-04 9.6916e-01 1.7037e-05
61000.0 2.4265e+02 2.5355e-04 1.7661e+01 3.1225e+02 8.4210e-01 2.0698e-04 1.7430e-04 9.1766e-01 1.5610e-05
71000.0 2.1465e+02 6.4211e-05 3.9564e+00 2.9368e+02 7.4492e-01 5.2417e-05 3.9047e-05 8.6309e-01 1.4106e-05
80000.0 1.9665e+02 1.5700e-05 8.8629e-01 2.8110e+02 6.8247e-01 1.2817e-05 8.7470e-06 8.2612e-01 1.3095e-05
84852.0 1.8695e+02 6.9579e-06 3.7339e-01 2.7408e+02 6.4879e-01 5.6799e-06 3.6851e-06 8.0548e-01 1.2534e-05
90000.0        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN

(2) Comparison to hand calculations, one in linear layer, one in isothermal layer
Hand calculations followed equations and constants from "US Standard Atmosphere, 1976"
deviating only by application of temperature offset dT to temperature profile

H, T, P only, since other results follow from these as is verified in (1) above
     H   T          P
    (m) (K)   (N/m^2)
11000.0 2.4665e+02 2.6587e+04 --- linear layer with dT=  30
15500.0 2.4665e+02 1.4256e+04 --- isothermal layer with dT=  30

(3) Comparison of: dT offset, std+(30.000000) day, evaluated at test altitudes
Compare at H=11000 & 15500 m, T & P should be as above in (2) "hand calsc". Rest of table results from logic tested in (1) above
     H   T          rho        P          a          theta      sigma      delta      kappa      visc
    (m) (K)        (kg/m^3)   (N/m^2)    (m/s)      (1)        (1)        (1)        (1)        (N*s/m^2)
 -100.0 3.1880e+02 1.1192e+00 1.0242e+05 3.5791e+02 1.1064e+00 9.1361e-01 1.0108e+00 1.0518e+00 1.9336e-05
    0.0 3.1815e+02 1.1095e+00 1.0132e+05 3.5754e+02 1.1041e+00 9.0570e-01 1.0000e+00 1.0508e+00 1.9307e-05
 5500.0 2.8240e+02 6.6805e-01 5.4154e+04 3.3686e+02 9.8005e-01 5.4535e-01 5.3446e-01 9.8997e-01 1.7615e-05
11000.0 2.4665e+02 3.7552e-01 2.6587e+04 3.1481e+02 8.5598e-01 3.0655e-01 2.6240e-01 9.2519e-01 1.5818e-05
15500.0 2.4665e+02 2.0135e-01 1.4256e+04 3.1481e+02 8.5598e-01 1.6436e-01 1.4069e-01 9.2519e-01 1.5818e-05
20000.0 2.4665e+02 1.0796e-01 7.6435e+03 3.1481e+02 8.5598e-01 8.8128e-02 7.5436e-02 9.2519e-01 1.5818e-05
26000.0 2.5265e+02 4.6367e-02 3.3627e+03 3.1862e+02 8.7680e-01 3.7851e-02 3.3187e-02 9.3638e-01 1.6128e-05
32000.0 2.5865e+02 2.0314e-02 1.5082e+03 3.2238e+02 8.9762e-01 1.6582e-02 1.4885e-02 9.4743e-01 1.6434e-05
39500.0 2.7965e+02 7.2483e-03 5.8185e+02 3.3521e+02 9.7050e-01 5.9170e-03 5.7424e-03 9.8514e-01 1.7481e-05
47000.0 3.0065e+02 2.7868e-03 2.4051e+02 3.4757e+02 1.0434e+00 2.2749e-03 2.3736e-03 1.0215e+00 1.8491e-05
